,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
245,Otamendi,2,65,113,1.7384615384615385,4.708333333333333,a,8,2,1,5,12,6,5,1,15,0,1,0,0,2,11,11,6,1,7,8,8,2,-1,2,0
100,Alonso,2,73,137,1.8767123287671232,5.708333333333333,a,0,16,6,2,6,0,2,1,1,6,6,14,2,6,2,0,6,14,6,14,6,7,8,6,0
532,Aurier,2,59,48,0.8135593220338984,2.0,d,0,0,0,0,1,-2,0,0,2,2,6,0,0,1,0,0,15,0,8,1,0,3,9,2,0
12,Mustafi,2,55,67,1.2181818181818183,2.7916666666666665,a,0,2,0,6,6,6,6,0,0,0,0,14,7,7,0,0,0,0,0,8,1,1,1,2,0
288,Yedlin,2,44,44,1.0,1.8333333333333333,a,0,0,0,0,2,2,2,0,8,2,2,3,-1,1,1,1,2,2,1,2,5,6,2,1,0
234,Salah,3,102,181,1.7745098039215685,7.541666666666667,a,11,1,11,1,10,7,2,3,7,4,15,16,7,13,5,11,3,8,10,9,14,0,11,2,0
247,Sterling,3,89,152,1.7078651685393258,6.333333333333333,a,0,6,4,0,9,13,3,15,0,7,5,3,13,9,2,2,9,12,13,11,1,9,1,5,0
384,Dier,3,47,54,1.148936170212766,2.25,a,3,1,2,3,3,1,3,3,1,2,3,2,1,2,2,2,3,2,3,2,0,2,6,2,0
85,Defour,3,54,62,1.1481481481481481,2.5833333333333335,a,5,2,2,3,2,3,2,1,2,3,3,3,2,3,2,3,3,3,1,7,3,2,1,1,0
414,Doucouré,3,53,97,1.830188679245283,4.041666666666667,a,9,3,3,11,1,1,10,2,8,1,3,3,3,7,2,2,2,7,0,5,1,2,9,2,0
394,Kane,4,130,154,1.1846153846153846,6.416666666666667,a,1,1,2,13,2,13,13,2,16,0,2,1,8,6,2,12,2,1,17,17,0,2,13,8,0
209,Vardy,4,85,108,1.2705882352941176,4.5,a,13,2,2,7,9,3,2,2,2,8,2,2,5,8,2,2,5,2,8,2,9,0,2,9,0
437,Rodriguez,4,55,65,1.1818181818181819,2.7083333333333335,a,1,2,5,2,2,2,2,2,2,6,2,2,2,0,2,2,1,1,1,2,8,2,5,9,0
469,Pope,1,48,97,2.0208333333333335,4.041666666666667,a,0,0,0,2,4,6,9,4,3,9,8,8,2,2,2,6,11,6,2,1,6,2,2,2,0
350,Fabianski,1,46,100,2.1739130434782608,4.166666666666667,a,6,1,7,4,11,1,3,6,2,2,2,3,9,5,1,6,2,9,3,1,3,2,3,8,0
